"*{counter:n}*"	"<strong>1</strong>"
"*{counter:n}* {counter:n}"	"<strong>1</strong> 2"
"*{greeting}*"	"<strong>Hello</strong>"
"\\{counter:n} {counter:n}"	"{counter:n} 1"
"\\{set-name\\} stays literal"	"{set-name} stays literal"
"\\{set-name} stays literal"	"{set-name} stays literal"
"\\{undefined-thing} stays literal"	"{undefined-thing} stays literal"
"_{greeting} text_"	"<em>Hello text</em>"
"a lone { brace and a lone } brace"	"a lone { brace and a lone } brace"
"a reference to {undefined-thing} here"	"a reference to {undefined-thing} here"
"a {tag} value"	"a <b> value"
"an empty pair {}"	"an empty pair {}"
"before{flag-off}after"	"before{flag-off}after"
"before{flag-on}after"	"beforeafter"
"before{greeting}after"	"beforeHelloafter"
"image:x.png[title={note}]"	"<span class=\"image\"><img src=\"x.png\" alt=\"x\" title=\"Pause &#169; Resume\"></span>"
"link:x.html[{note}]"	"<a href=\"x.html\">Pause &#169; Resume</a>"
"page {counter:page} of many"	"page 1 of many"
"plain text without a reference"	"plain text without a reference"
"{a-name-2}"	"value"
"{amp}"	"A & B"
"{counter2:n}"	""
"{counter2:n}{counter:n}"	"2"
"{counter:a}-{counter:b}-{counter:a}"	"1-1-2"
"{counter:n:9}"	"9"
"{counter:n:9}-{counter:n:1}"	"9-10"
"{counter:n}"	"1"
"{counter:n} *{counter:n}*"	"1 <strong>2</strong>"
"{counter:n}-{counter:n}"	"1-2"
"{greeting}, {greeting}!"	"Hello, Hello!"
"{note}"	"&#169; 2024"
"{set-name\\} stays literal"	"{set-name} stays literal"
"{word}--world"	"hello&#8212;&#8203;world"
