"*bold* and {undefined-thing} here"	"<strong>bold</strong> and  here"
"*{two-lines}* {undefined-thing}"	"<strong>a\nb</strong> "
"*{undefined-thing}*"	"<strong></strong>"
"*{unset-thing}*"	"<strong></strong>"
"\\{undefined-thing}"	"{undefined-thing}"
"\\{undefined-thing}{undefined-thing}"	"{undefined-thing}"
"_a\n{undefined-thing}\nb_"	"<em>a\nb</em>"
"_text {undefined-thing} more_"	"<em>text  more</em>"
"_{looks-like-a-ref}_"	"<em>{nope}</em>"
"_{looks-like-a-ref}_ and {undefined-thing}"	"<em>{nope}</em> and "
"a line with *{undefined-thing}* in it"	"a line with <strong></strong> in it"
"a link:index.html[Docs] then {undefined-thing}"	"a <a href=\"index.html\">Docs</a> then "
"before {undefined-thing} after"	"before  after"
"before {unset-thing} after"	"before  after"
"first\n\\{a\\}{undefined-thing}\nlast"	"first\n{a}\nlast"
"first\n\\{undefined-thing}\nlast"	"first\n{undefined-thing}\nlast"
"first\n{counter2:n}{undefined-thing}\nlast"	"first\nlast"
"first\n{undefined-thing}\n{also-undefined}\nlast"	"first\nlast"
"first line\nx{undefined-thing}\nthird line"	"first line\nx\nthird line"
"first line\n{empty-value}\nthird line"	"first line\nthird line"
"first line\n{set-flag}\nthird line"	"first line\n\nthird line"
"first line\n{undefined-thing}"	"first line"
"first line\n{undefined-thing}\nthird line"	"first line\nthird line"
"first line\n{undefined-thing} \nthird line"	"first line\n \nthird line"
"first line\n{unset-thing}\nthird line"	"first line\nthird line"
"keep\n_{looks-like-a-ref}_\nkeep"	"keep\n<em>{nope}</em>\nkeep"
"the line trails with {undefined-thing}"	"the line trails with "
"two {undefined-thing} on {also-undefined} one line"	"two  on  one line"
"{counter:n}{undefined-thing}"	"1"
"{greeting}, {undefined-thing}!"	"Hello, !"
"{looks-like-a-ref}"	"{nope}"
"{set-flag}{unset-thing}"	""
"{two-lines}\n{undefined-thing}"	"a\nb"
"{two-lines} {undefined-thing}"	"a\nb "
"{undefined-thing}"	""
"{undefined-thing}\nsecond line"	"second line"
"{undefined-thing}\n{two-lines}"	"a\nb"
"{undefined-thing} leads the line"	" leads the line"
"{unset-thing}"	""
"{unset-thing} and {undefined-thing} on one line"	" and  on one line"
