"-- <1>"	"-- <b class=\"conum\">(1)</b>"
"<child/> <!--1-->"	"&lt;child/&gt; &lt;!--<b class=\"conum\">(1)</b>--&gt;"
"First line <1-->"	"First line &lt;1--&gt;"
"a <.>\nb <.>\nc <.>"	"a <b class=\"conum\">(1)</b>\nb <b class=\"conum\">(2)</b>\nc <b class=\"conum\">(3)</b>"
"a <.>\nb <1>\nc <.>"	"a <b class=\"conum\">(1)</b>\nb <b class=\"conum\">(1)</b>\nc <b class=\"conum\">(2)</b>"
"a <b> c"	"a &lt;b&gt; c"
"hello() -> % <1>"	"hello() -&gt; % <b class=\"conum\">(1)</b>"
"just some text"	"just some text"
"line one <1>\nmore code after"	"line one <b class=\"conum\">(1)</b>\nmore code after"
"puts \"<1> in the middle\""	"puts \"&lt;1&gt; in the middle\""
"puts 'x' # <1>"	"puts 'x' # <b class=\"conum\">(1)</b>"
"puts x <5><6>"	"puts x <b class=\"conum\">(5)</b><b class=\"conum\">(6)</b>"
"require 'x' # \\<1>"	"require 'x' # &lt;1&gt;"
"require 'x' <1>"	"require 'x' <b class=\"conum\">(1)</b>"
