"\"`-- x`\""	"&#8220;-- x&#8221;"
"\"`a -- b`\""	"&#8220;a&#8201;&#8212;&#8201;b&#8221;"
"\"`x --`\""	"&#8220;x --&#8221;"
"#x --#"	"<mark>x --</mark>"
"&#8217;"	"&#8217;"
"&#x2019;"	"&#x2019;"
"&amp; then (R)"	"&amp; then &#174;"
"&copy; 2026"	"&copy; 2026"
"&hellip; and &mdash;"	"&hellip; and &mdash;"
"'`x --`'"	"&#8216;x --&#8217;"
"(C)"	"&#169;"
"(C) 2026 -- Acme's widgets... see x -> y"	"&#169; 2026&#8201;&#8212;&#8201;Acme&#8217;s widgets&#8230;&#8203; see x &#8594; y"
"(R)"	"&#174;"
"(TM)"	"&#8482;"
"*&copy; x*"	"<strong>&copy; x</strong>"
"*(C) x*"	"<strong>&#169; x</strong>"
"**x --**"	"<strong>x --</strong>"
"*-- x*"	"<strong>-- x</strong>"
"*Acme (C)*"	"<strong>Acme &#169;</strong>"
"*[width=10]#x --# --*"	"<strong>x&#8201;&#8212;&#8201;--</strong>"
"*a -- b*"	"<strong>a&#8201;&#8212;&#8201;b</strong>"
"*a -- b* and _x...y_"	"<strong>a&#8201;&#8212;&#8201;b</strong> and <em>x&#8230;&#8203;y</em>"
"*a -> b*"	"<strong>a &#8594; b</strong>"
"*a _b (C) c_ d*"	"<strong>a <em>b &#169; c</em> d</strong>"
"*bold* +\nplain"	"<strong>bold</strong><br>\nplain"
"*bold* and _italic_"	"<strong>bold</strong> and <em>italic</em>"
"*one--two*"	"<strong>one&#8212;&#8203;two</strong>"
"*w'w*"	"<strong>w&#8217;w</strong>"
"*x --*"	"<strong>x --</strong>"
"*x ...*"	"<strong>x &#8230;&#8203;</strong>"
"*x* -- y"	"<strong>x</strong>&#8201;&#8212;&#8201;y"
"*x*-- y"	"<strong>x</strong>-- y"
"-- leading"	"&#8201;&#8212;&#8201;leading"
"-- x"	"&#8201;&#8212;&#8201;x"
"->"	"&#8594;"
"..."	"&#8230;&#8203;"
"1 -- 2 * 3"	"1&#8201;&#8212;&#8201;2 * 3"
"<-"	"&#8592;"
"Acme (C) +\nnext line"	"Acme &#169;<br>\nnext line"
"Copyright (C) 2026, Acme (R), Widget (TM)"	"Copyright &#169; 2026, Acme &#174;, Widget &#8482;"
"He said `'hello"	"He said &#8217;hello"
"It\\'s"	"It's"
"Sam's book"	"Sam&#8217;s book"
"[.r]#x --#"	"<span class=\"r\">x --</span>"
"[width=10]#x --#"	"x&#8201;&#8212;&#8201;"
"\\&copy;"	"&amp;copy;"
"\\(C)"	"(C)"
"\\--"	"--"
"\\-> arrow"	"-&gt; arrow"
"\\..."	"..."
"^x --^"	"^x --^"
"_a -- b_"	"<em>a&#8201;&#8212;&#8201;b</em>"
"_wait..._"	"<em>wait&#8230;&#8203;</em>"
"_x --_"	"<em>x --</em>"
"`a -> b`"	"<code>a &#8594; b</code>"
"`x --`"	"<code>x --</code>"
"a\nfoo +"	"a\nfoo<br>"
"a +\nb +\nc"	"a<br>\nb<br>\nc"
"a + b\nc"	"a + b\nc"
"a -- b"	"a&#8201;&#8212;&#8201;b"
"a -> b"	"a &#8594; b"
"a -> b +\nc <- d"	"a &#8594; b<br>\nc &#8592; d"
"a < b & c > d"	"a &lt; b &amp; c &gt; d"
"a <- b"	"a &#8592; b"
"a <= b"	"a &#8656; b"
"a => b"	"a &#8658; b"
"a--b--c"	"a&#8212;&#8203;b&#8212;&#8203;c"
"a...b...c"	"a&#8230;&#8203;b&#8230;&#8203;c"
"a<b (C) c>d"	"a&lt;b &#169; c&gt;d"
"a\\--b"	"a--b"
"a_b_c"	"a_b_c"
"foo +\nbar"	"foo<br>\nbar"
"if x -> y then z"	"if x &#8594; y then z"
