"*_deep +_*"	"<strong><em>deep +</em></strong>"
"*a +\nb* +"	"<strong>a<br>\nb</strong><br>"
"*bold +\nmore +*"	"<strong>bold<br>\nmore +</strong>"
"*bold +*"	"<strong>bold +</strong>"
"*bold +*\ntail"	"<strong>bold +</strong>\ntail"
"*x +* y +"	"<strong>x +</strong> y<br>"
"_em +_"	"<em>em +</em>"
"`code +`"	"<code>code +</code>"
"foo +\n*bar +*"	"foo<br>\n<strong>bar +</strong>"
"link:https://example.org[text +]"	"<a href=\"https://example.org\">text +</a>"
"text *bold +* tail"	"text <strong>bold +</strong> tail"
