"\"`#m#`\""	"&#8220;#m#&#8221;"
"\"`*b*`\""	"&#8220;<strong>b</strong>&#8221;"
"\"`_e_`\""	"&#8220;_e_&#8221;"
"\"``end points``\""	"&#8220;`end points`&#8221;"
"\"`a _b_ c`\""	"&#8220;a <em>b</em> c&#8221;"
"\"`a`\" `code`"	"&#8220;a&#8221; <code>code</code>"
"\"`a`\"#mark#"	"&#8220;a&#8221;#mark#"
"\"`a`\"'`b`'"	"&#8220;a&#8221;'`b`'"
"\"`a`\"_em_"	"\"`a`\"<em>em</em>"
"\"`a`\"`code`"	"&#8220;a&#8221;`code`"
"\"`double`\""	"&#8220;double&#8221;"
"\"`x `code` y`\""	"&#8220;x <code>code</code> y&#8221;"
"##ma##rk"	"<mark>ma</mark>rk"
"#a *b* c#"	"<mark>a <strong>b</strong> c</mark>"
"#mark#"	"<mark>mark</mark>"
"'`_e_`'"	"&#8216;_e_&#8217;"
"'`a`' _em_"	"&#8216;a&#8217; <em>em</em>"
"'`a`'`code`"	"&#8216;a&#8217;`code`"
"'`single`'"	"&#8216;single&#8217;"
"* not a list *"	"* not a list *"
"**a *b* c**"	"<strong>a <strong>b</strong> c</strong>"
"**bo**ld"	"<strong>bo</strong>ld"
"*[width=10]###c# d##*"	"<strong><mark>c</mark> d</strong>"
"*a _b_ c*"	"<strong>a <em>b</em> c</strong>"
"*a `b` c*"	"<strong>a <code>b</code> c</strong>"
"*a* *b* *c*"	"<strong>a</strong> <strong>b</strong> <strong>c</strong>"
"*a*`code`"	"<strong>a</strong><code>code</code>"
"*a<b>c*"	"<strong>a&lt;b&gt;c</strong>"
"*bold with ` backtick*"	"<strong>bold with ` backtick</strong>"
"*bold*"	"<strong>bold</strong>"
"*x [width=10]###c# d##*"	"<strong>x <mark>c</mark> d</strong>"
"*x*[width=10]###c# d##"	"<strong>x</strong><mark>c</mark> d"
"*x*y*z*"	"<strong>x*y*z</strong>"
"*x[width=10]###c# d##*"	"<strong>x#c# d</strong>"
"1 * 2 * 3"	"1 * 2 * 3"
"E = mc^2^"	"E = mc<sup>2</sup>"
"H~2~O"	"H<sub>2</sub>O"
"[#a&b]#x#"	"<span id=\"a&amp;b\">x</span>"
"[#anchor]*bold*"	"<strong id=\"anchor\">bold</strong>"
"[#i&d.r<le]*bold*"	"<strong id=\"i&amp;d\" class=\"r&lt;le\">bold</strong>"
"[%%%%]#x#"	"x"
"['a<b&c']*bold*"	"<strong class=\"'a&lt;b&amp;c'\">bold</strong>"
"['quoted role']#x#"	"<span class=\"'quoted role'\">x</span>"
"['x\" onmouseover=\"y']*bold*"	"<strong class=\"'x&quot; onmouseover=&quot;y'\">bold</strong>"
"[.\t.role]#x#"	"<span class=\"role\">x</span>"
"[.a&b.c<d]_x_"	"<em class=\"a&amp;b c&lt;d\">x</em>"
"[.a.b]_x_"	"<em class=\"a b\">x</em>"
"[.a<b]##x##"	"<span class=\"a&lt;b\">x</span>"
"[.a<b]*bold*"	"<strong class=\"a&lt;b\">bold</strong>"
"[.lead]#tagline#"	"<span class=\"lead\">tagline</span>"
"[.r]#a `b` c#"	"<span class=\"r\">a <code>b</code> c</span>"
"[.r]#a#`code`"	"<span class=\"r\">a</span><code>code</code>"
"[.role1.role2]#x#"	"<span class=\"role1 role2\">x</span>"
"[.role]##x##"	"<span class=\"role\">x</span>"
"[.role]#a < b#"	"<span class=\"role\">a &lt; b</span>"
"[a<b]#x#"	"<span class=\"a&lt;b\">x</span>"
"[role=\"a<b\"]*bold*"	"<strong class=\"a&lt;b\">bold</strong>"
"[role='a\"b']#x#"	"<span class=\"a&quot;b\">x</span>"
"[width=10]###c# d##"	"<mark>c</mark> d"
"[width=10]###c# d## x"	"<mark>c</mark> d x"
"[width=10]###c# d##x"	"<mark>c</mark> dx"
"[width=10]#a `b` c#"	"a <code>b</code> c"
"[x#\t#realid]#x#"	"<span id=\"realid\" class=\"x\">x</span>"
"[x%\t]#x#"	"<span class=\"x\">x</span>"
"[x% ]#x#"	"<span class=\"x\">x</span>"
"\\**not bold**"	"<strong>*not bold</strong>*"
"\\*not bold*"	"*not bold*"
"\\*x*"	"*x*"
"\\[a<b]*bold*"	"[a&lt;b]<strong>bold</strong>"
"\\[role]*bold*"	"[role]<strong>bold</strong>"
"\\_not italic_"	"_not italic_"
"\\`m`\" n"	"\\`m`\" n"
"_*strong* in em_"	"<em>*strong* in em</em>"
"__it__alic"	"<em>it</em>alic"
"_`code` in em_"	"<em>`code` in em</em>"
"_em_'`a`'"	"<em>em</em>'`a`'"
"_italic_"	"<em>italic</em>"
"`*b* and _i_`"	"<code><strong>b</strong> and <em>i</em></code>"
"`<code>&amp;</code>`"	"<code>&lt;code&gt;&amp;amp;&lt;/code&gt;</code>"
"`a *b` c*"	"<code>a <strong>b</code> c</strong>"
"`code`"	"<code>code</code>"
"`code`\"`a`\""	"<code>code</code>&#8220;a&#8221;"
"`code`*a*"	"<code>code</code><strong>a</strong>"
"a *bold* here"	"a <strong>bold</strong> here"
"a < b & c > d"	"a &lt; b &amp; c &gt; d"
"a \\*x*"	"a *x*"
"a `b\"c` d"	"a <code>b\"c</code> d"
"a `b` `c` `d` e"	"a <code>b</code> <code>c</code> <code>d</code> e"
"a `b`\" c"	"a `b`\" c"
"a_b_c"	"a_b_c"
"before < *bold* > after"	"before &lt; <strong>bold</strong> &gt; after"
"foo \\_bar_"	"foo _bar_"
"multi\nline *strong\nspan* end"	"multi\nline <strong>strong\nspan</strong> end"
"nested *_`all three`_* here"	"nested <strong><em>`all three`</em></strong> here"
"plain text"	"plain text"
"punctuation: *bold*, and _more_."	"punctuation: <strong>bold</strong>, and <em>more</em>."
"un**con**strained"	"un<strong>con</strong>strained"
"word \\#m#"	"word #m#"
"x [width=10]###c# d##"	"x <mark>c</mark> d"
"x \\`code`"	"x `code`"
"x `y`' z"	"x `y`' z"
"x[width=10]###c# d##"	"x#c# d"
"x[width=10]##d #c# e##"	"xd <mark>c</mark> e"
"x[width=10]##d #c###"	"xd <mark>c</mark>"
"{leading}`code``"	"{leading}`code``"
