"before {macro-src} after"	"before <kbd>Esc</kbd> after"
"btn:[{label}]"	"<b class=\"button\">Save</b>"
"kbd:[{key}+Shift]"	"<span class=\"keyseq\"><kbd>Ctrl</kbd>+<kbd>T</kbd>+<kbd>Shift</kbd></span>"
"kbd:[{key}]"	"<span class=\"keyseq\"><kbd>Ctrl</kbd>+<kbd>T</kbd></span>"
"menu:View[{zoom} > Reset]"	"<span class=\"menuseq\"><b class=\"menu\">View</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"submenu\">Zoom</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"menuitem\">Reset</b></span>"
"menu:View[{zoom}, Reset]"	"<span class=\"menuseq\"><b class=\"menu\">View</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"submenu\">Zoom</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"menuitem\">Reset</b></span>"
"menu:{view}[Zoom > Reset]"	"<span class=\"menuseq\"><b class=\"menu\">View</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"submenu\">Zoom</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"menuitem\">Reset</b></span>"
"menu:{view}[]"	"<b class=\"menuref\">View</b>"
"menu:{view}[{zoom} > Reset]"	"<span class=\"menuseq\"><b class=\"menu\">View</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"submenu\">Zoom</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"menuitem\">Reset</b></span>"
"press kbd:[Ctrl&C]\nor menu:&#8942;[Zoom > Reset]"	"press <kbd>Ctrl&amp;C</kbd>\nor <span class=\"menuseq\"><b class=\"menu\">&#8942;</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"submenu\">Zoom</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"menuitem\">Reset</b></span>"
"press kbd:[Ctrl+T]\nor menu:View[Zoom > Reset]"	"press <span class=\"keyseq\"><kbd>Ctrl</kbd>+<kbd>T</kbd></span>\nor <span class=\"menuseq\"><b class=\"menu\">View</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"submenu\">Zoom</b>&#160;<b class=\"caret\">&#8250;</b> <b class=\"menuitem\">Reset</b></span>"
"press kbd:[a(C)b]\nor btn:[O'Reilly]"	"press <kbd>a&#169;b</kbd>\nor <b class=\"button\">O&#8217;Reilly</b>"
"press kbd:[{key}] then btn:[{label}]"	"press <span class=\"keyseq\"><kbd>Ctrl</kbd>+<kbd>T</kbd></span> then <b class=\"button\">Save</b>"
"{macro-src}"	"<kbd>Esc</kbd>"
